Date,Open,High,Low,Close,Volume
2018-05-02T00:00:00Z,97.18,97.18,94.57,94.68,6471602
2018-05-03T00:00:00Z,96.29,97.0735,96.21,96.62,4497984
2018-05-04T00:00:00Z,97.34,98.1,96.96,97.44,3615276
2018-05-07T00:00:00Z,97.7,97.89,97.375,97.64,1406073
2018-05-08T00:00:00Z,97.94,98.24,96.97,98.2,1952122
2018-05-09T00:00:00Z,101.19,101.71,97.57,97.93,3763565
2018-05-10T00:00:00Z,95.5,95.69,94.42,95.4,4196000
2018-05-11T00:00:00Z,95.42,95.8478,94.54,95.06,1941906
2018-05-14T00:00:00Z,96.3,96.4252,95.35,95.48,2874548
2018-05-15T00:00:00Z,93.37,94.1,92.97,93.59,2817269
2018-05-16T00:00:00Z,93.68,94.09,93.64,93.93,1332973
2018-05-17T00:00:00Z,95.09,95.14,94.05,94.42,1864620
2018-05-18T00:00:00Z,95.15,95.18,94.0534,94.3,1632280
2018-05-21T00:00:00Z,94.53,94.65,93.95,94.2,2700138
2018-05-22T00:00:00Z,95.76,95.869,94.64,94.93,3011830
2018-05-23T00:00:00Z,94.4,94.859,94.11,94.77,2736903
2018-05-24T00:00:00Z,95.39,95.86,95.0,95.75,1688334
2018-05-25T00:00:00Z,94.3,95.06,94.23,94.72,1883419
2018-05-29T00:00:00Z,92.82,93.33,91.7,92.34,3130118
2018-05-30T00:00:00Z,94.13,94.28,93.03,94.15,1955265
2018-05-31T00:00:00Z,94.66,94.69,93.1,93.59,2063006
2018-06-01T00:00:00Z,94.44,94.57,92.831,93.42,2048898
2018-06-04T00:00:00Z,96.75,96.75,96.09,96.28,2477608
2018-06-05T00:00:00Z,96.73,96.73,94.868,95.14,1965416
2018-06-06T00:00:00Z,94.78,94.92,94.24,94.87,1763186
2018-06-07T00:00:00Z,94.51,94.65,93.6,93.96,3119831
2018-06-08T00:00:00Z,94.01,94.75,93.89,94.67,1011794
2018-06-11T00:00:00Z,95.93,97.13,95.75,96.93,1914402
2018-06-12T00:00:00Z,97.74,98.1138,97.33,97.65,1304844
2018-06-13T00:00:00Z,98.48,98.64,97.241,97.8,1376914
