Date,Open,High,Low,Close,Volume
2018-04-30T00:00:00Z,101.27,101.52,94.57,97.44,21255252
2018-05-07T00:00:00Z,97.7,101.71,94.42,95.06,13259666
2018-05-14T00:00:00Z,96.3,96.4252,92.97,94.3,10521690
2018-05-21T00:00:00Z,94.53,95.869,93.95,94.72,12020624
2018-05-28T00:00:00Z,92.82,94.69,91.7,93.42,9197287
2018-06-04T00:00:00Z,96.75,96.75,93.6,94.67,10337835
2018-06-11T00:00:00Z,95.93,99.18,95.75,98.53,7460108
2018-06-18T00:00:00Z,96.98,99.36,95.25,99.13,7983787
2018-06-25T00:00:00Z,98.99,101.29,96.87,100.76,8655558
2018-07-02T00:00:00Z,100.36,104.4,99.88,103.84,4681609
2018-07-09T00:00:00Z,104.5,104.56,102.855,103.92,4939263
2018-07-16T00:00:00Z,103.87,105.08,102.32,104.62,5391394
2018-07-23T00:00:00Z,105.3,106.86,101.24,101.75,8382723
2018-07-30T00:00:00Z,101.33,101.82,99.5501,100.64,6195868
2018-08-06T00:00:00Z,100.24,101.0,95.93,96.43,4994863
2018-08-13T00:00:00Z,96.64,100.22,96.15,99.86,5639738
2018-08-20T00:00:00Z,99.94,101.45,97.61,98.21,6983778
2018-08-27T00:00:00Z,98.79,99.35,92.65,93.23,6793291
2018-09-03T00:00:00Z,92.07,92.54,88.4901,89.74,9951014
2018-09-10T00:00:00Z,90.0,90.39,87.32,89.29,11213916
2018-09-17T00:00:00Z,89.34,92.72,89.215,92.04,8387164
2018-09-24T00:00:00Z,90.77,91.01,87.15,87.57,8550772
2018-10-01T00:00:00Z,86.79,88.895,85.14,86.65,8979074
2018-10-08T00:00:00Z,86.85,87.21,83.84,84.34,8525397
2018-10-15T00:00:00Z,84.36,85.7203,83.29,83.86,7603836
2018-10-22T00:00:00Z,84.62,84.65,72.88,74.08,19483918
2018-10-29T00:00:00Z,76.47,76.99,73.52,76.51,12374234
2018-11-05T00:00:00Z,76.03,77.0,73.8025,74.62,7363621
2018-11-12T00:00:00Z,73.21,79.4,72.92,78.85,14413581
2018-11-19T00:00:00Z,79.13,79.28,75.64,76.16,5207335
2018-11-26T00:00:00Z,75.67,77.44,74.8677,76.87,7372246
2018-12-03T00:00:00Z,76.95,76.98,70.38,70.77,7742117
2018-12-10T00:00:00Z,71.14,72.87,69.23,69.7,11047632
2018-12-17T00:00:00Z,69.56,70.49,66.23,66.39,11557294
2018-12-24T00:00:00Z,66.29,66.95,64.545,65.87,9302836
2018-12-31T00:00:00Z,65.63,69.255,64.8,69.09,7525659
2019-01-07T00:00:00Z,68.6,73.97,68.5,73.73,9783459
2019-01-14T00:00:00Z,72.81,73.81,70.15,73.65,7700339
2019-01-21T00:00:00Z,72.94,75.13,72.53,74.86,7664430
2019-01-28T00:00:00Z,73.3,77.39,72.87,76.84,6789178
2019-02-04T00:00:00Z,76.89,79.21,75.43,76.15,5830955
2019-02-11T00:00:00Z,76.2,78.66,75.2299,77.69,7523206
2019-02-18T00:00:00Z,76.46,78.6,73.57,75.04,5849861
2019-02-25T00:00:00Z,75.48,82.95,74.4,81.96,12662736
2019-03-04T00:00:00Z,82.6,82.63,80.1399,80.58,7251514
2019-03-11T00:00:00Z,80.81,81.49,79.63,81.25,5782280
2019-03-18T00:00:00Z,81.91,84.96,80.74,80.74,6656656
2019-03-25T00:00:00Z,80.0,84.27,79.92,83.97,5659194
2019-04-01T00:00:00Z,83.61,86.915,83.37,86.32,4405179
2019-04-08T00:00:00Z,86.57,88.69,85.82,88.54,5141821
2019-04-15T00:00:00Z,89.03,90.02,88.08,89.96,3964876
2019-04-22T00:00:00Z,89.69,90.47,86.0,87.58,5026759
2019-04-29T00:00:00Z,87.35,89.37,87.1807,88.1,5568097
2019-05-06T00:00:00Z,87.0,88.19,83.04,84.14,6118239
