Date,Open,High,Low,Close,Volume
2022-05-06T00:00:00Z,255.8,267.51,255.04,266.9,2208190
2022-05-09T00:00:00Z,266.8,268.47,259.72,261.41,2228521
2022-05-10T00:00:00Z,262.02,264.44,258.63,260.65,1612907
2022-05-11T00:00:00Z,260.11,267.53,259.69,260.2,1410698
2022-05-12T00:00:00Z,259.43,260.73,254.27,260.03,1675418
2022-05-13T00:00:00Z,261.05,261.98,258.03,259.19,1520115
2022-05-16T00:00:00Z,265.46,269.435,262.31,266.49,1542736
2022-05-17T00:00:00Z,268.57,271.71,267.51,271.35,1436254
2022-05-18T00:00:00Z,269.57,270.0,255.93,257.57,2387276
2022-05-19T00:00:00Z,255.46,259.15,253.13,256.88,1692008
2022-05-20T00:00:00Z,256.76,261.87,254.42,259.49,1623714
2022-05-23T00:00:00Z,262.27,265.76,261.355,263.37,1092268
2022-05-24T00:00:00Z,264.24,266.65,261.41,264.96,1383193
2022-05-25T00:00:00Z,265.35,266.535,263.435,265.75,1097479
2022-05-26T00:00:00Z,269.29,271.0,267.705,268.88,1695832
2022-05-27T00:00:00Z,268.11,272.97,266.29,272.4,1248133
2022-05-31T00:00:00Z,270.22,273.575,267.33,268.29,3557126
2022-06-01T00:00:00Z,271.29,271.58,262.145,264.58,2622862
2022-06-02T00:00:00Z,265.21,265.21,257.59,263.43,1656301
2022-06-03T00:00:00Z,262.82,263.31,253.69,253.97,2331399
2022-06-06T00:00:00Z,256.19,259.74,254.52,258.32,1615074
2022-06-07T00:00:00Z,257.18,262.82,255.15,262.28,1792292
2022-06-08T00:00:00Z,259.52,262.6,258.89,260.78,1235595
2022-06-09T00:00:00Z,260.2,262.54,257.45,257.58,1101581
2022-06-10T00:00:00Z,253.24,256.09,251.88,253.29,1402958
2022-06-13T00:00:00Z,248.88,249.8,241.15,242.23,2242025
2022-06-14T00:00:00Z,242.15,246.37,240.11,245.71,2205414
2022-06-15T00:00:00Z,247.05,249.71,243.96,247.1,1643374
2022-06-16T00:00:00Z,247.29,248.52,240.18,248.3,1904198
2022-06-17T00:00:00Z,250.17,251.82,241.54,244.52,3822924
2022-06-21T00:00:00Z,249.8,254.79,244.85,252.18,2324601
2022-06-22T00:00:00Z,252.83,259.02,250.2475,255.9,1506290
2022-06-23T00:00:00Z,257.29,260.28,254.92,259.68,1774209
2022-06-24T00:00:00Z,261.47,265.8,255.91,265.13,3406211
2022-06-27T00:00:00Z,264.34,269.155,262.31,267.88,1637310
2022-06-28T00:00:00Z,268.46,271.4,264.76,266.21,1494893
2022-06-29T00:00:00Z,268.19,269.88,264.84,267.34,1439636
2022-06-30T00:00:00Z,264.5,266.07,261.45,263.52,2029725
2022-07-01T00:00:00Z,263.76,268.95,260.65,268.03,1302771
2022-07-05T00:00:00Z,264.52,265.23,256.37,264.84,2331912
2022-07-06T00:00:00Z,265.04,273.1989,263.41,271.09,3259647
2022-07-07T00:00:00Z,272.05,277.45,272.05,275.78,5021185
2022-07-08T00:00:00Z,275.61,281.49,274.68,279.19,2325235
2022-07-11T00:00:00Z,277.19,281.908,276.8,279.91,1550508
2022-07-12T00:00:00Z,279.17,282.33,278.37,279.35,2599281
2022-07-13T00:00:00Z,276.86,279.52,273.46,273.75,1563413
2022-07-14T00:00:00Z,266.82,266.82,261.0,264.91,2260774
2022-07-15T00:00:00Z,269.02,274.38,267.29,274.11,1880627
2022-07-18T00:00:00Z,274.47,274.85,267.29,268.35,1597052
2022-07-19T00:00:00Z,270.2,276.38,270.08,274.6,2084776
2022-07-20T00:00:00Z,273.68,274.18,264.29,266.72,1669261
2022-07-21T00:00:00Z,264.79,267.75,263.46,266.35,1705941
2022-07-22T00:00:00Z,267.0,269.22,265.7218,269.2,1787231
2022-07-25T00:00:00Z,270.25,274.92,270.25,272.63,1323480
2022-07-26T00:00:00Z,274.15,275.655,272.82,274.83,1731443
2022-07-27T00:00:00Z,274.01,276.6,270.04,274.73,1120093
2022-07-28T00:00:00Z,275.41,275.75,270.59,273.22,1650669
2022-07-29T00:00:00Z,273.14,277.72,272.415,275.36,1836899
2022-08-01T00:00:00Z,273.98,276.9233,272.13,273.41,1434635
2022-08-02T00:00:00Z,274.95,275.03,270.77,271.44,1415574
2022-08-03T00:00:00Z,272.11,273.8,271.28,271.74,3549040
2022-08-04T00:00:00Z,280.63,284.46,279.26,280.1,3654716
2022-08-05T00:00:00Z,278.56,282.66,278.2834,281.77,2039836
2022-08-08T00:00:00Z,282.0,283.85,280.73,281.77,2391959
