Date,Open,High,Low,Close,Volume
2018-04-30T00:00:00Z,100.41,101.3736,97.68,101.15,44992272
2018-05-07T00:00:00Z,102.35,102.68,99.3,102.07,58719602
2018-05-14T00:00:00Z,102.44,105.48,101.98,103.93,36513790
2018-05-21T00:00:00Z,104.22,105.49,101.21,102.2,35323692
2018-05-28T00:00:00Z,100.55,101.65,98.809,99.36,34954507
2018-06-04T00:00:00Z,99.76,103.99,99.7,103.98,35054898
2018-06-11T00:00:00Z,103.93,109.49,102.67,108.85,73637549
2018-06-18T00:00:00Z,107.0,107.9,105.76,106.34,53777379
2018-06-25T00:00:00Z,106.025,106.08,103.4801,104.81,36427606
2018-07-02T00:00:00Z,104.15,105.95,103.5,104.78,18233320
2018-07-09T00:00:00Z,105.01,110.24,104.75,110.0,34813002
2018-07-16T00:00:00Z,109.3048,114.68,108.77,111.48,53337975
2018-07-23T00:00:00Z,111.05,114.5617,109.63,112.62,33030947
2018-07-30T00:00:00Z,112.2,114.095,111.68,114.09,28862112
2018-08-06T00:00:00Z,114.62,117.9,112.4,112.68,52691946
2018-08-13T00:00:00Z,112.66,113.33,111.47,112.48,25439718
2018-08-20T00:00:00Z,112.93,113.0,111.44,111.93,22457823
2018-08-27T00:00:00Z,112.49,112.89,111.56,112.02,20026018
2018-09-03T00:00:00Z,111.8,112.0,109.36,110.97,22802178
2018-09-10T00:00:00Z,111.44,111.9075,108.88,109.26,26494028
2018-09-17T00:00:00Z,109.545,111.98,108.23,110.4,49370955
2018-09-24T00:00:00Z,112.27,117.46,111.7,116.94,45105345
2018-10-01T00:00:00Z,117.28,118.1,114.73,114.78,33476717
2018-10-08T00:00:00Z,114.83,117.77,110.32,112.61,37429746
2018-10-15T00:00:00Z,111.93,119.17,111.89,118.9,37856161
2018-10-22T00:00:00Z,119.05,119.69,111.25,113.19,44035878
2018-10-29T00:00:00Z,114.45,116.95,111.96,115.18,38954052
2018-11-05T00:00:00Z,115.74,120.2,115.12,118.0,49160558
2018-11-12T00:00:00Z,118.0,118.46,115.7,116.19,35161438
2018-11-19T00:00:00Z,116.0,117.83,111.52,112.08,31394023
2018-11-26T00:00:00Z,113.18,117.14,111.92,115.49,51092375
2018-12-03T00:00:00Z,116.65,116.92,111.16,111.98,38931306
2018-12-10T00:00:00Z,111.98,113.98,109.5301,112.2,36186923
2018-12-17T00:00:00Z,112.29,112.89,103.86,104.22,48748869
2018-12-24T00:00:00Z,103.23,108.52,100.35,107.3,32377625
2018-12-31T00:00:00Z,109.11,110.75,105.9436,109.61,37682634
2019-01-07T00:00:00Z,109.91,112.92,109.3,112.65,32356446
2019-01-14T00:00:00Z,111.65,113.18,110.16,111.04,37628531
2019-01-21T00:00:00Z,110.62,111.84,109.75,111.09,26259792
2019-01-28T00:00:00Z,110.76,112.05,108.96,111.3,34195645
2019-02-04T00:00:00Z,111.41,113.92,109.81,111.51,49939439
2019-02-11T00:00:00Z,111.77,112.6325,109.15,112.59,40138293
2019-02-18T00:00:00Z,112.91,115.77,112.83,115.25,33466252
2019-02-25T00:00:00Z,115.62,115.8,112.46,114.01,39246080
2019-03-04T00:00:00Z,114.42,115.05,112.9,113.81,31466014
2019-03-11T00:00:00Z,114.04,115.48,113.68,114.96,67209938
2019-03-18T00:00:00Z,113.03,114.0,107.51,108.23,154315713
2019-03-25T00:00:00Z,108.49,111.6,107.32,111.03,73783063
2019-04-01T00:00:00Z,111.59,115.13,111.38,115.0,55837971
2019-04-08T00:00:00Z,115.0,130.9,114.635,130.06,120523526
2019-04-15T00:00:00Z,131.05,132.87,129.28,132.45,73482356
2019-04-22T00:00:00Z,131.9,140.04,131.0325,139.92,64356336
2019-04-29T00:00:00Z,142.19,142.37,132.38,134.33,75360734
2019-05-06T00:00:00Z,132.54,136.48,131.23,134.04,61507350
2019-05-13T00:00:00Z,131.5,136.4,130.55,135.04,51779278
2019-05-20T00:00:00Z,134.25,134.57,131.95,132.79,31466501
2019-05-27T00:00:00Z,133.21,134.04,130.7783,132.04,29382847
2019-06-03T00:00:00Z,132.02,138.76,131.49,138.04,36045244
2019-06-10T00:00:00Z,138.88,142.95,134.8245,141.65,49433471
2019-06-17T00:00:00Z,140.81,143.51,138.58,140.23,49287093
2019-06-24T00:00:00Z,140.12,141.74,137.8,139.64,60559975
2019-07-01T00:00:00Z,140.45,143.0,139.22,142.45,26300608
2019-07-08T00:00:00Z,142.18,145.43,139.75,144.88,40904961
2019-07-15T00:00:00Z,145.13,145.36,139.74,139.85,30585663
2019-07-22T00:00:00Z,141.25,145.19,140.01,144.65,36552611
2019-07-29T00:00:00Z,145.59,147.15,139.94,141.71,43398542
2019-08-05T00:00:00Z,139.14,141.95,132.26,138.52,81439674
2019-08-12T00:00:00Z,137.31,137.92,132.47,135.2,41738883
2019-08-19T00:00:00Z,136.79,137.62,131.0234,131.67,43863312
2019-08-26T00:00:00Z,134.19,138.68,132.55,137.26,32234943
2019-09-02T00:00:00Z,136.37,139.81,135.06,139.55,19536718
2019-09-09T00:00:00Z,139.58,140.08,134.58,138.02,36872700
2019-09-16T00:00:00Z,136.29,137.36,131.6125,132.27,56209184
2019-09-23T00:00:00Z,131.99,134.15,128.92,129.96,44954873
2019-09-30T00:00:00Z,130.35,131.78,127.54,130.27,35687927
2019-10-07T00:00:00Z,130.27,131.565,128.06,130.02,29048830
2019-10-14T00:00:00Z,130.13,133.44,129.4,130.89,34094753
2019-10-21T00:00:00Z,131.44,133.68,129.63,130.9,38495931
2019-10-28T00:00:00Z,131.45,132.8,128.75,132.75,47261292
