Date,Open,High,Low,Close,Volume
2022-05-06T00:00:00Z,111.77,112.09,108.3,110.29,12525166
2022-05-09T00:00:00Z,108.11,110.74,106.48,106.98,17941596
2022-05-10T00:00:00Z,109.835,110.7,106.1447,107.68,15657721
2022-05-11T00:00:00Z,107.9,110.07,104.79,105.21,26933332
2022-05-12T00:00:00Z,102.9,105.0,99.47,104.31,36298829
2022-05-13T00:00:00Z,105.36,107.69,105.31,107.33,16782625
2022-05-16T00:00:00Z,107.46,107.62,104.85,105.18,11993642
2022-05-17T00:00:00Z,107.73,108.79,106.3,108.64,11847643
2022-05-18T00:00:00Z,107.38,107.66,103.88,104.3,11793977
2022-05-19T00:00:00Z,103.43,105.3,102.96,103.14,11284951
2022-05-20T00:00:00Z,104.49,104.8,100.05,102.42,15650431
2022-05-23T00:00:00Z,103.76,106.03,101.5611,105.83,14402432
2022-05-24T00:00:00Z,103.71,103.84,100.13,101.59,13970239
2022-05-25T00:00:00Z,101.43,103.807,101.16,103.26,11026597
2022-05-26T00:00:00Z,104.22,106.13,103.96,105.61,11297797
2022-05-27T00:00:00Z,106.89,109.37,106.53,109.32,13671313
2022-05-31T00:00:00Z,110.0,111.235,107.91,110.44,20274632
2022-06-01T00:00:00Z,112.01,112.85,108.27,109.19,11829744
2022-06-02T00:00:00Z,109.43,110.95,107.91,110.87,8829877
2022-06-03T00:00:00Z,109.17,109.85,107.9232,108.67,6767601
2022-06-06T00:00:00Z,109.75,110.19,107.65,107.83,7575890
2022-06-07T00:00:00Z,106.79,107.92,106.0,107.79,7279062
2022-06-08T00:00:00Z,107.43,109.3605,106.96,107.34,7019489
2022-06-09T00:00:00Z,106.53,107.06,103.25,103.3,8271206
2022-06-10T00:00:00Z,101.43,102.12,99.38,99.4,15386009
2022-06-13T00:00:00Z,97.61,97.61,94.83,95.71,15239650
2022-06-14T00:00:00Z,96.27,96.27,93.1,94.22,12443662
2022-06-15T00:00:00Z,94.61,97.3,94.09,95.88,11751580
2022-06-16T00:00:00Z,94.01,95.38,93.41,94.28,15298482
2022-06-17T00:00:00Z,94.01,95.97,93.47,94.34,15403769
2022-06-21T00:00:00Z,94.9,95.45,93.265,93.29,16649792
2022-06-22T00:00:00Z,92.17,94.61,92.01,93.5,11415080
2022-06-23T00:00:00Z,93.96,94.65,92.07,94.3,11348816
2022-06-24T00:00:00Z,95.45,98.5671,95.4,97.78,11681152
2022-06-27T00:00:00Z,98.22,98.23,95.8001,96.61,10793748
2022-06-28T00:00:00Z,99.74,100.4,95.78,95.92,16838236
2022-06-29T00:00:00Z,95.95,96.201,94.53,95.65,8653197
2022-06-30T00:00:00Z,94.42,95.44,92.5443,94.4,10983520
2022-07-01T00:00:00Z,94.24,96.3107,93.98,96.14,10543380
2022-07-05T00:00:00Z,94.26,97.23,92.31,97.18,10674623
2022-07-06T00:00:00Z,97.53,98.19,95.4,96.08,8640229
2022-07-07T00:00:00Z,96.9,97.53,95.93,97.43,7813050
2022-07-08T00:00:00Z,96.57,97.12,95.349,95.86,7717297
2022-07-11T00:00:00Z,95.0,95.3375,93.43,93.64,7650632
2022-07-12T00:00:00Z,93.58,95.25,93.31,93.6,8665299
2022-07-13T00:00:00Z,92.12,93.2487,91.01,92.94,12006434
2022-07-14T00:00:00Z,91.48,92.04,90.23,91.84,11146426
2022-07-15T00:00:00Z,92.91,95.32,92.7,95.2,14946733
2022-07-18T00:00:00Z,96.36,97.27,95.31,95.7,10430405
2022-07-19T00:00:00Z,96.68,99.85,96.68,99.61,13683360
2022-07-20T00:00:00Z,100.25,104.26,99.9538,103.35,15112718
2022-07-21T00:00:00Z,102.71,104.25,101.61,104.18,8611311
2022-07-22T00:00:00Z,103.28,104.5661,102.11,102.72,7803460
2022-07-25T00:00:00Z,102.78,103.39,101.81,102.69,6726685
2022-07-26T00:00:00Z,102.14,102.36,99.56,99.78,6346629
2022-07-27T00:00:00Z,100.97,103.65,100.81,103.5,9445183
2022-07-28T00:00:00Z,103.245,104.97,102.71,104.9,7970282
2022-07-29T00:00:00Z,105.14,106.34,103.37,106.1,10320043
2022-08-01T00:00:00Z,104.87,106.65,103.8601,106.22,7769658
2022-08-02T00:00:00Z,105.74,106.36,104.62,104.71,9093020
2022-08-03T00:00:00Z,105.73,109.7,105.73,109.02,11243033
2022-08-04T00:00:00Z,108.92,109.45,107.66,108.12,7322411
2022-08-05T00:00:00Z,106.81,107.7,105.37,106.63,10099976
2022-08-08T00:00:00Z,108.205,111.23,107.9,109.11,13045407
2022-08-09T00:00:00Z,109.22,109.22,107.03,108.13,8776524
2022-08-10T00:00:00Z,112.48,112.67,109.91,112.43,26398688
2022-08-11T00:00:00Z,122.21,123.268,117.3309,117.69,50375019
2022-08-12T00:00:00Z,119.0,121.61,118.9201,121.57,21964785
2022-08-15T00:00:00Z,121.0,125.96,120.99,124.26,24628324
2022-08-16T00:00:00Z,124.73,126.48,123.45,124.96,14607300
2022-08-17T00:00:00Z,123.45,124.48,122.57,122.81,9140896
2022-08-18T00:00:00Z,123.01,123.13,121.71,122.67,7343934
2022-08-19T00:00:00Z,121.25,121.39,119.48,120.14,8702520
2022-08-22T00:00:00Z,117.7,118.21,115.6901,115.94,11575841
2022-08-23T00:00:00Z,115.98,116.3699,114.6211,114.86,7180690
2022-08-24T00:00:00Z,114.67,117.16,114.1,116.41,7840514
2022-08-25T00:00:00Z,117.02,117.77,116.11,117.46,6920927
2022-08-26T00:00:00Z,117.47,118.37,113.89,114.07,7807402
2022-08-29T00:00:00Z,112.54,114.4673,112.41,113.53,6882736
2022-08-30T00:00:00Z,114.28,114.7499,111.45,112.43,8059967
2022-08-31T00:00:00Z,112.87,113.75,111.85,112.08,7352967
2022-09-01T00:00:00Z,111.79,112.59,110.025,112.53,7718715
2022-09-02T00:00:00Z,113.05,113.89,110.84,111.2,8465130
2022-09-06T00:00:00Z,111.77,111.78,108.52,110.09,9537290
2022-09-07T00:00:00Z,109.87,112.955,109.87,112.69,8193947
2022-09-08T00:00:00Z,111.07,112.99,110.36,112.33,8443278
2022-09-09T00:00:00Z,113.27,115.525,113.19,115.18,9573346
2022-09-12T00:00:00Z,116.14,117.49,115.27,116.39,7923353
2022-09-13T00:00:00Z,113.05,113.82,111.17,111.76,10504583
2022-09-14T00:00:00Z,111.85,112.74,109.88,112.5,8610446
2022-09-15T00:00:00Z,112.39,114.41,110.71,110.77,9739754
2022-09-16T00:00:00Z,109.21,109.58,106.96,108.25,15978828
2022-09-19T00:00:00Z,107.53,109.2245,107.036,109.17,7979457
2022-09-20T00:00:00Z,108.28,108.41,106.86,107.57,6957409
2022-09-21T00:00:00Z,107.39,108.04,104.49,104.49,9776355
2022-09-22T00:00:00Z,104.21,104.66,102.02,102.16,10953392
2022-09-23T00:00:00Z,100.62,101.18,98.02,99.5,11976927
2022-09-26T00:00:00Z,98.95,100.66,98.06,98.12,9760467
2022-09-27T00:00:00Z,99.53,99.64,95.432,95.85,13360187
2022-09-28T00:00:00Z,95.79,99.87,95.45,99.4,12895460
2022-09-29T00:00:00Z,98.53,98.6,96.23,97.45,9435058
2022-09-30T00:00:00Z,96.5,97.4778,94.28,94.33,12094936
2022-10-03T00:00:00Z,95.73,97.78,94.504,97.13,9468403
2022-10-04T00:00:00Z,98.68,101.52,98.2301,101.44,10229002
2022-10-05T00:00:00Z,100.04,101.22,98.7,100.8,7562771
2022-10-06T00:00:00Z,100.43,101.46,99.8701,100.04,6728200
2022-10-07T00:00:00Z,98.51,98.8,96.4469,97.16,7051019
2022-10-10T00:00:00Z,97.59,97.74,94.42,95.16,9532334
