Date,Open,High,Low,Close,Volume
2018-04-30T00:00:00Z,146.89,147.38,139.9,143.91,23464605
2018-05-07T00:00:00Z,144.11,144.85,141.28,144.14,20021856
2018-05-14T00:00:00Z,144.47,145.19,142.92,144.08,16304020
2018-05-21T00:00:00Z,144.95,146.204,142.95,143.64,16951460
2018-05-28T00:00:00Z,142.77,143.1,140.21,141.95,20343954
2018-06-04T00:00:00Z,142.3,146.7,142.18,146.14,18618365
2018-06-11T00:00:00Z,146.62,147.52,143.7,145.39,21311072
2018-06-18T00:00:00Z,143.9,144.52,140.78,141.28,21004666
2018-06-25T00:00:00Z,140.4,141.359,137.45,139.7,25455718
2018-07-02T00:00:00Z,138.28,142.94,138.2,142.48,12024030
2018-07-09T00:00:00Z,142.6,146.9799,142.47,145.9,17395351
2018-07-16T00:00:00Z,144.77,150.54,142.7351,146.35,36572622
2018-07-23T00:00:00Z,146.35,149.27,144.66,145.15,19940363
2018-07-30T00:00:00Z,145.04,147.92,142.33,147.7,24366161
2018-08-06T00:00:00Z,147.0,147.64,143.88,144.48,17100909
2018-08-13T00:00:00Z,144.15,146.39,142.0,146.06,17890077
2018-08-20T00:00:00Z,146.38,147.16,144.75,146.04,12992907
2018-08-27T00:00:00Z,146.79,147.93,145.25,146.48,15929583
2018-09-03T00:00:00Z,146.0,147.66,144.81,145.45,15394651
2018-09-10T00:00:00Z,146.59,149.3,145.25,148.33,20298429
2018-09-17T00:00:00Z,148.4514,152.6,147.47,151.35,37327961
2018-09-24T00:00:00Z,151.18,153.35,148.36,151.21,22847744
2018-10-01T00:00:00Z,151.75,154.36,147.87,149.03,18943237
2018-10-08T00:00:00Z,148.5,149.07,138.78,140.85,27703434
2018-10-15T00:00:00Z,140.2602,145.45,127.96,129.1,50928298
2018-10-22T00:00:00Z,129.61,131.9,123.71,124.79,36964774
2018-10-29T00:00:00Z,119.34,123.95,114.09,115.67,87773431
2018-11-05T00:00:00Z,116.13,125.06,116.0,123.54,48482997
2018-11-12T00:00:00Z,123.51,123.57,119.51,121.57,23510061
2018-11-19T00:00:00Z,121.75,122.18,116.6955,117.19,18035587
2018-11-26T00:00:00Z,118.47,124.69,118.06,124.27,27471124
2018-12-03T00:00:00Z,125.17,126.59,118.87,119.34,25801474
2018-12-10T00:00:00Z,119.74,123.81,118.52,119.9,23701178
2018-12-17T00:00:00Z,119.17,120.27,110.44,110.94,39485288
2018-12-24T00:00:00Z,109.9,114.8,105.94,113.03,21630293
2018-12-31T00:00:00Z,113.33,117.49,111.69,117.32,18047093
2019-01-07T00:00:00Z,117.5,121.86,116.67,121.46,19780844
2019-01-14T00:00:00Z,120.5,124.7175,119.7607,123.82,23616108
2019-01-21T00:00:00Z,123.22,135.0,121.54,133.97,44147478
2019-01-28T00:00:00Z,133.06,135.4149,132.58,134.1,23585862
2019-02-04T00:00:00Z,134.02,136.65,132.12,133.71,21874687
2019-02-11T00:00:00Z,134.0,138.185,133.91,138.03,17299173
2019-02-18T00:00:00Z,137.81,139.38,137.2203,139.25,13238819
2019-02-25T00:00:00Z,140.0,140.49,137.72,139.2,15273342
2019-03-04T00:00:00Z,139.99,140.08,133.58,135.09,18558647
2019-03-11T00:00:00Z,136.03,140.33,135.84,139.43,20959826
2019-03-18T00:00:00Z,139.83,142.12,138.72,139.45,17883337
2019-03-25T00:00:00Z,139.06,141.22,138.35,141.1,14257045
2019-04-01T00:00:00Z,141.51,144.22,141.51,143.28,14574262
2019-04-08T00:00:00Z,143.02,144.44,141.84,144.35,13675882
2019-04-15T00:00:00Z,144.4,145.39,136.26,140.33,27390537
2019-04-22T00:00:00Z,139.42,141.31,137.71,139.44,16961387
2019-04-29T00:00:00Z,139.15,141.81,138.68,140.25,16772230
2019-05-06T00:00:00Z,138.3,140.69,132.42,135.32,19509963
2019-05-13T00:00:00Z,133.28,136.11,130.96,134.32,16426011
2019-05-20T00:00:00Z,133.53,137.06,130.44,132.28,15557532
2019-05-27T00:00:00Z,132.13,132.64,126.85,126.99,14869322
2019-06-03T00:00:00Z,127.1,134.72,127.06,133.31,16193845
2019-06-10T00:00:00Z,134.38,136.46,133.91,135.15,13722199
2019-06-17T00:00:00Z,135.39,139.54,134.7,139.2,15851123
2019-06-24T00:00:00Z,139.2,140.15,137.84,137.9,15575818
2019-07-01T00:00:00Z,139.6,141.82,139.28,141.38,9862722
2019-07-08T00:00:00Z,141.05,142.92,139.13,142.74,13194248
2019-07-15T00:00:00Z,142.89,151.58,141.95,149.68,31893323
2019-07-22T00:00:00Z,150.16,151.94,148.38,151.36,16794485
2019-07-29T00:00:00Z,151.11,152.95,145.59,147.25,22876887
2019-08-05T00:00:00Z,144.98,145.1,135.35,136.13,28623442
2019-08-12T00:00:00Z,135.66,144.72,130.25,133.76,20496047
