Date,Open,High,Low,Close,Volume
2018-05-02T00:00:00Z,235.33,236.21,232.86,233.46,3542681
2018-05-03T00:00:00Z,231.97,234.8,229.3075,234.15,2731552
2018-05-04T00:00:00Z,233.67,236.65,232.16,235.9,1999865
2018-05-07T00:00:00Z,235.9,236.9899,232.63,233.78,3237793
2018-05-08T00:00:00Z,233.045,233.72,230.65,232.03,2698268
2018-05-09T00:00:00Z,233.05,233.42,228.23,229.21,3504188
2018-05-10T00:00:00Z,229.36,234.29,229.36,233.71,2168955
2018-05-11T00:00:00Z,233.7,238.8,232.9483,238.28,3044883
2018-05-14T00:00:00Z,239.0,243.67,238.82,242.9,3893625
2018-05-15T00:00:00Z,241.0,242.22,238.666,239.5,2396560
2018-05-16T00:00:00Z,240.25,241.81,238.57,241.72,1906100
2018-05-17T00:00:00Z,241.49,243.56,240.54,242.96,2418730
2018-05-18T00:00:00Z,243.57,244.76,242.39,244.64,2283818
2018-05-21T00:00:00Z,245.0,249.17,244.84,247.9,3040706
2018-05-22T00:00:00Z,248.0,248.05,243.84,245.18,2644110
2018-05-23T00:00:00Z,244.03,245.5,241.635,244.26,3047844
2018-05-24T00:00:00Z,244.935,245.44,242.2,242.73,2610418
2018-05-25T00:00:00Z,242.95,245.58,242.44,244.95,1554906
2018-05-29T00:00:00Z,243.86,243.86,240.24,242.17,2837814
2018-05-30T00:00:00Z,243.13,245.75,242.63,244.94,2071942
2018-05-31T00:00:00Z,243.26,244.745,240.6767,241.51,2966087
2018-06-01T00:00:00Z,242.43,243.74,241.29,243.35,2371387
2018-06-04T00:00:00Z,243.98,245.24,242.74,244.63,2188866
2018-06-05T00:00:00Z,244.75,245.1146,241.91,244.43,1531865
2018-06-06T00:00:00Z,246.01,248.72,245.13,248.65,2650301
2018-06-07T00:00:00Z,249.76,250.0,248.25,248.98,2117186
2018-06-08T00:00:00Z,249.5,251.5,248.07,250.68,3034554
2018-06-11T00:00:00Z,250.84,254.99,250.4,253.78,2775180
2018-06-12T00:00:00Z,253.77,253.94,250.17,253.58,2567198
2018-06-13T00:00:00Z,254.14,256.73,252.48,252.87,3138291
2018-06-14T00:00:00Z,254.47,255.99,253.66,255.33,2456594
2018-06-15T00:00:00Z,254.0,255.98,252.56,255.98,4772229
2018-06-18T00:00:00Z,254.0,255.01,252.135,254.87,1961879
2018-06-19T00:00:00Z,252.97,253.3,251.16,253.02,2370154
2018-06-20T00:00:00Z,253.315,253.73,251.88,252.81,2580440
2018-06-21T00:00:00Z,252.81,253.65,250.92,251.89,2150281
2018-06-22T00:00:00Z,252.26,255.11,251.19,254.37,2743131
2018-06-25T00:00:00Z,254.35,255.13,248.61,250.71,3060769
2018-06-26T00:00:00Z,251.01,252.47,249.54,249.77,2157980
2018-06-27T00:00:00Z,250.23,251.76,248.13,248.17,2480999
2018-06-28T00:00:00Z,247.1,248.0,242.23,244.9,3556904
2018-06-29T00:00:00Z,244.99,247.4999,244.6,245.34,2787779
2018-07-02T00:00:00Z,244.88,247.73,244.12,247.48,1793431
2018-07-03T00:00:00Z,248.3,248.75,246.74,246.98,1247991
2018-07-05T00:00:00Z,249.36,250.9262,247.58,250.5,2183067
2018-07-06T00:00:00Z,251.13,251.73,249.4212,250.76,1572267
2018-07-09T00:00:00Z,252.13,254.01,251.05,253.67,2039553
2018-07-10T00:00:00Z,253.76,256.9,253.75,255.54,2012223
2018-07-11T00:00:00Z,255.14,256.0,253.735,254.59,1486018
2018-07-12T00:00:00Z,256.1,256.82,254.92,256.05,1592817
2018-07-13T00:00:00Z,256.42,259.01,256.02,258.7,2356197
2018-07-16T00:00:00Z,256.87,258.45,256.435,256.98,3625425
2018-07-17T00:00:00Z,251.55,252.52,246.2694,250.29,6932309
2018-07-18T00:00:00Z,251.37,256.61,250.44,255.42,3359842
2018-07-19T00:00:00Z,255.3,256.5,251.85,252.93,2307632
2018-07-20T00:00:00Z,251.495,253.55,251.17,252.7,2014299
2018-07-23T00:00:00Z,252.91,255.23,252.43,252.74,1479621
2018-07-24T00:00:00Z,254.86,254.96,252.01,253.76,2476529
2018-07-25T00:00:00Z,254.81,255.27,252.765,254.86,3048005
2018-07-26T00:00:00Z,256.25,257.87,255.795,257.0,2021347
2018-07-27T00:00:00Z,257.69,257.79,255.39,255.95,1656790
2018-07-30T00:00:00Z,255.96,256.89,253.11,253.84,1681607
2018-07-31T00:00:00Z,254.14,255.2,252.85,253.22,2356023
2018-08-01T00:00:00Z,256.1,256.1,252.81,253.37,3006726
2018-08-02T00:00:00Z,253.25,256.3,252.23,256.08,1854444
2018-08-03T00:00:00Z,256.45,257.56,254.3,257.22,1422323
2018-08-06T00:00:00Z,256.47,257.54,255.465,256.76,1398440
2018-08-07T00:00:00Z,257.64,258.8449,257.13,257.65,1462806
2018-08-08T00:00:00Z,258.11,259.5,257.92,258.81,1494253
2018-08-09T00:00:00Z,259.58,263.02,259.31,261.59,2315032
2018-08-10T00:00:00Z,260.56,261.5,259.11,260.36,1625059
2018-08-13T00:00:00Z,261.0,262.55,260.2975,260.91,1635347
2018-08-14T00:00:00Z,260.89,264.295,260.85,263.48,1941909
2018-08-15T00:00:00Z,262.0,262.69,259.19,260.61,2017726
2018-08-16T00:00:00Z,262.0,263.75,261.45,263.1,2115921
2018-08-17T00:00:00Z,263.39,264.13,261.72,262.33,1969679
